"""t.text"""
"""RT @CallawayBOT: Voters on both sides increasingly see a Trump win as a possibility — and that may get more people to vote https://t.co/9Uf…"""
"""RT @xavvypls: ILoveBernie1: RT nonnie7696: Because We Couldn’t Have #Sanders, You’ll Get #Trump https://t.co/meB22iWyHL by NatCounterPunch…"""
"""RT @Girrali: Puppet v's puppet. #Trump, shock-jock decoy. #USA shadow-government wants #Clinton. #Sanders was a threat. We saw how they dea…"""
"""#WikiLeaks: Email suggests #Sanders was manipulated to support #HillaryClinton https://t.co/iBoU1OlZAs"""
"""You know that  #Sanders in ridiculously outmatched. All hail #Trump #GOPDebate #VegasGOPDebate"""
"""RT @SuckMyLEFTJuan: #Bernie #Sanders' wife begged #Vermont governoer not to endorse #Hillary #Clinton https://t.co/HTU3bQy8J7 #JaneSanders…"""
"""RT @R_del_Mar: #UIC Cancelled @realDonaldTrump Rally Those were #Sanders Supporters NOT #HRC / I was there. #MAGA #NeverHillary https://t.c…"""
