"day";"toptags"
"2016-02-24";"pjnet,c,realdonaldtrump,trump2016,pmqs"
"2016-02-25";"pjnet,tcot,tedcruz,cruzcrew,wakeupamerica,2a,blacktwitter,texasprimary,ffrnn,defundpp,bc2dc16,hrclies,benghazi,ccot,trump,crconvention,loser,trusted,godbless,irs,obama,romney,chicago,freestacy,emails,cruzc,blackhistorymonth,teaparty,13hours,goptownhall,scprimary,blackowned,cosproject,trump2016,documented,strangebedfellows,renewus,suicide,palestine,c,usconstitution,hillary,obamacare,2016goals,growthhacking,right,sharpton,trifecta,wethepeople,factor,nohearingsnov,oas2014,patriots,rebootliberty,p2,illegals,ca,gopdebate,scotus,democrat,blacklivesmatter,oscars,communism,discrimination,1,rednationrising,oathkeepers,whistleblower,keystone,dstncta,jeopardy,assimilate,supportcoachk,blackish,isis,israel,obamalegacy,supportcoachkennedy,articlev"
"2016-02-26";"wearhoodiefortrayvon,pjnet,tedcruz,2a,cruzcrew,tcot,obama,gopdebate,blacklivesmatter,kellyfile,defundpp,trapcover,supertuesday,tco,cosproject,p2,ffrnn,lnksingtome,trump,author,blacktwitter,renewus,trumpuniversity,israel,policebrutality,sinai,13hours,godbless,opchemtrails,donaldtrump,trump2016,makeamericagreatagain,rednationrising,columbiacounty,westvirginia,benghazi,nyun,rubio,blackhistorymonth,teaparty,truth,riptreyvonmartin,crconvention,wearealltrayvon,trumptrain,trayvonmartin,requirescongress,trusted,dumptrump,europe,trum,nationalreview,noshowrubio,illegals,cospro,rights,molonlabe,12,conservatives,breaking,rip,democrat,jesus,obamashutdown,sky,wakeupamerica,guncontrol,ff,keystone,whistleblower,peoplevsojsimpson,supportcoachkennedy,pureblack,twitter,fastcompany,gunsense,ccot,hadenoughyet,usconstitution,scprimary,palestine,c,federal,sharpton,2adefenders,goptownhall,haarp,demtownhall,trans,rebootliberty"
"2016-02-28";"wakeupamerica,guncontrol,liberallogic"
"2016-02-29";"oscarhasnocolor,oscarssowhite,oscarsoblack,oscars,alternativeoscarnominations,oscarracism,techcompaniessoasian,oscarsoasian,oscar,donaldtrumps,liberal,leosowhite,detroit,oscarhasn,grammys,oscarsowhite,wearhoodiefortrayvon"
"2016-03-01";"nevertrump,tedcruz,barackobama,usnavy,tcot,2a,gopprimary,kukluxklan,supertuesday,whitepeopleinvitedtothecookout,pjnet,usmc,americans"
"2016-03-02";"tcot,breaking,pjnet,stopthesham,nwo,b,bre,bluehand,makeamericagreatagain,teapartynews,conservative"
"2016-03-03";"teapartynews"
"2016-03-04";"gop,notenough,mikebrown,blackhistoryyear,unemployed"
"2016-03-05";"pjnet,turkish,votetrump,choosecruz,trump2016,stopislam,ontovictory,cpac2016,maineprimary,tcot,taxes,cruzcrew,people,trump,yall,kscaucus,mazel,nevertrump,rescuepets,donaldtrump,mightyreal,makeamericagreatagain,gopdebate,money,periscope"
