"""t.text"""
"""RT @amrightnow: realdonaldtrump No Trust Hillary #military #army #navy #usmc #airforce #veterans #trump #trumptrain #trump2016 https://t.co…"""
"""RT @Babbsgirl2: VA Hospital Did Not Notify Dozens of Veterans With Cancer Resulted in Deaths\n#Trump He Will Fix This \n#Vets4Trump \nhttps://…"""
"""RT @JohnRMoffitt: Keep your friends away from #Trump rallies. https://t.co/tRWK1YvplK"""
"""RT @RT_America: #Trump shuts off cash flow to #GOP, halts fundraisers until Election Day https://t.co/yBfqtV6aAu https://t.co/v9v7b7doYC"""
"""RT @NobleBlanctet: Handcount Blue Counties: 85/15 #Trump LANDSLIDE! @mitchellvii @PrisonPlanet @StefanMolyneux @StevePieczenick #MAGA https…"""
"""RT @RT_com: #Trump won’t be permitted to win - #Assange to John Pilger FULL INTERVIEW: https://t.co/qmZHXeOCoQ https://t.co/UYxt1RKemm"""
"""RT @_political_p: @seanharshey @GOP #NeverTrump\n\n#Trump has submitted to his former self when he was a Dem. Amnesty, gender bathroom, taxes…"""
"""If u don't wanna see another wave of immigrants - choose #Trump, not old douchebag #Sanders #GOPDebateSC"""
"""RT @TrumpTowerMVP: @realDonaldTrump OBAMA AND HILLARY ARE KILLING INNOCENT BABIES HELP STOP THEM! Elect #Trump"""
"""RT @Republicanangel: Voting is a brain exercise, not a feeling of the heart! #AlwaysTrump #TrumpTrain #Trump #TrumpPence16 https://t.co/B0V…"""
"""RT @BigStick2013: Please RT if you plan on voting for Trump, I'm trying to get an idea of his support, #Trump https://t.co/Ha9UnbSMly"""
"""RT @SandraTXAS: Americanism! \n\n#AmericaFirst #MAGA vote&gt;&gt; #Trump #TrumpPence16\n\n#ConstitutionDay2016 is Americanism! https://t.co/waGBakEKMq"""
"""RT @TheDailySheeple: Top U.S. Secret Service Agent Rages: \""I Wouldn’t Take A Bullet For Trump\"" https://t.co/apGCqurZRr #trump #hillary #not…"""
"""Go vote for trump!!! Make america great again!! #Election2016  #Trump #Trump2016 #TrumpPence16 #IVoted  #Hillary4Prison #TrumpForPresident"""
"""RT @QueenKafirBitch: #Trump vs. #Muhammad: Part 1 \n⚠️ MUST WATCH 👀\n#ccot #WakeUpAmerica #islamIsTheProblem \n\nhttps://t.co/lKOJJjfDxV"""
"""#TedCruz lets loose on why he's standing by #Trump: \""#HillaryClinton is an absolute disaster\"" https://t.co/bnmRbf9Xfr"""
"""RT @ScottFordTVGuy: I am voting for #Trump because he has taken tasks in his life &amp; built something quite great. As a Democrat, I want chan…"""
"""The Real Trump Trump About You\"" Watch Make #1 https://t.co/kgXho9eHdy  #tcot #pjnet #1A #2A #Trump #trump2016 https://t.co/G9evkPub4f"""
"""RT @RT_com: Cornfield gallery: Giant #Trump portrait ‘ploughed’ on 25,000 square meter cornfield https://t.co/9mbymhYaWu https://t.co/bjqNp…"""
"""That really is fucked up @GOP #GOP #Trump #MAGA #TrumpTrain https://t.co/3d7NXCcGfq #TrumpForPresident"""
"""RT @Johnatsrs1949: #TRUMP'S IN GREAT #HEALTH!\nI DON'T GIVE A DAMN ABOUT HIS #TAX RETURNS!! \n#RT IF YOU AGREE!! https://t.co/ry6rX4Cpdv"""
"""Vote for #Trump  #GOPDebateSC"""
"""#Trump will #Mauer zu #Mexiko \""Mexiko wird dafür bezahlen, sie wissen es nur noch nicht\""\n\n#USA #doofeBerufe #Azubis\nhttps://t.co/dhInbIpOoc"""
"""RT @JohnLeguizamo: .why wont #GaryJohnson go away? He is an inept politician and may usher #trump to presidency by spitting #dem votes http…"""
